"id","companyName","companies_ID","meanBonus","meanHourly","medianBonus","medianHourly","reportLink","year","meanHourlyPT","medianHourlyPT","meanHourlyTemp","medianHourlyTemp","perBonusFemale","perBonusMale","perBIKFemale","perBIKMale","pb1Female","pb1Male","pb2Female","pb2Male","pb3Female","pb3Male","pb4Female","pb4Male","perEmployeesFemale","perEmployeesMale"
"395","Workday","401","29.90000","20.00000","39.40000","20.30000","https://www.workday.com/en-gb/legal/ireland-gender-pay-gap-report.html","2022","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"396","Workhuman","402","45.00000","30.00000","20.00000","32.00000","https://www.workhuman.com/gender-pay-gap-report/dublin-2022/","2022","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"397","WTW (all legal entities)","403","65.30000","38.30000","51.60000","21.50000","https://www.wtwco.com/en-IE/Notices/wtw-2022-gender-pay-gap-report","2022","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"398","WuXi Biologics","404","6.00000","8.00000","8.00000","18.00000","https://www.wuxibiologics.com/wp-content/uploads/WuXi-Biologics_Gender-Pay-Gap-Report_December-2022.pdf","2022","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"399","Zoetis Belgium S.A. (Irish Branch) ","406","13.90000","22.00000","18.30000","20.50000","https://www2.zoetis.ie/content/_assets/PDFs/Zoetis-Irish-Branch-Gender-Pay-Gap-Report-2022.pdf","2022","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"400","Zurich (3 legal entities)","407","63.00000","32.00000","31.00000","26.00000","https://www.zurich.ie/-/media/project/zurichie/zurichmainsite/files/gender-pay-gap-report/7503_gender-pay-report_zl-lob-7503-1222.pdf?la=en&hash=31D4844375BAB94C60ADFD2E4E897B29523351EB","2022","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"401","Zendesk","405","31.40000","19.00000","24.70000","16.50000","https://web-assets.zendesk.com/pdf/Ireland_GPG_Report.pdf","2022","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"402","BMS (BMS Ireland)","64","24.60000","19.90000","14.30000","15.50000","https://www.bms.com/assets/bms/gb/en_gb/images/BMS_Ireland%20Gender_Pay_Gap_Report_A4_v1.0_APPROVED.pdf","2022","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"403","BMS (Swords Laboratories Ireland)","65","24.60000","20.40000","12.90000","15.10000","https://www.bms.com/assets/bms/gb/en_gb/images/BMS_Ireland%20Gender_Pay_Gap_Report_A4_v1.0_APPROVED.pdf","2022","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"404","Department of Housing, Local Government and Heritage","125",NULL,"6.30000",NULL,"7.01000","https://www.gov.ie/pdf/?file=https://assets.gov.ie/245595/935acd53-4853-4f98-9036-4e62cf5ec772.pdf#page=null","2022","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"405","Department of Foreign Affairs","123",NULL,"13.87000",NULL,"8.24000","https://www.dfa.ie/media/dfa/aboutus/ourcommitments/Gender-Pay-Gap---2022-report.pdf","2022","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"406","Dublin and Dun Laoghaire Education
and Training Board","140",NULL,"8.39000",NULL,"2.70000","https://www.ddletb.ie/wp-content/uploads/2023/01/DDL-ETB-Gender-pay-gap-statement-2022-English-Version.pdf","2022","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"407","McCann Fitzgerald (excluding partners)","273","39.70000","8.70000","6.90000","3.00000","https://www.mccannfitzgerald.com/uploads/McCann_FitzGerald_LLP_-_Gender_Pay_Gap_Report.pdf","2022","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"408","TCS (Tata Consulting Services)","359","-2.42000","5.59000","5.59000","6.97000","https://www.tcs.com/who-we-are/worldwide/uk/tcs-ireland-gender-pay-gap-report","2022","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"409","JLL Ireland","236","22.10000","11.50000","19.20000","16.40000","https://www.jll.ie/content/dam/jll-com/documents/pdf/other/emea/ireland/jll-ie-gender-pay-gap-report-2022-final.pdf","2022","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"410","SAP: Business Objects Software Limited","337","32.50000","20.50000","35.90000","21.80000","https://www.sap.com/uk/documents/2023/12/bc9d8ff4-9d7e-0010-bca6-c68f7e60039b.html","2023",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"411","SAP: SAP Service and Support Centre (Ireland) Limited","338","14.20000","11.80000","-1.60000","13.80000","https://www.sap.com/uk/documents/2023/12/bc9d8ff4-9d7e-0010-bca6-c68f7e60039b.html","2023",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"412","An Post","28","6.69000","-3.80000","10.51000","-0.20000","https://www.anpost.com/getmedia/5063a6b3-ecba-4136-86fe-491e66584c77/AN-POST-GENDER-REPORT-2023.pdf","2023",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"416","RTE","332",NULL,"11.29000",NULL,"12.75000","https://www.rte.ie/documents/news/2023/12/rte-gender-pay-gap-report-2023.pdf","2023",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"417","Cork City Council","101",NULL,"3.59000",NULL,"-9.99000","https://www.corkcity.ie/en/council-services/news-room/latest-news/gender-pay-gap-report-2023-19dec23.pdf","2023",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"418","Fingal County Council","170",NULL,"1.65000",NULL,"-9.31000","https://www.fingal.ie/sites/default/files/2023-12/Gender%20Pay%20Gap%20Report%202023.pdf","2023",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"419","Houses of the Oireachtas Service (Full-Time Staff)","210",NULL,"-4.09000",NULL,"-7.95000","https://data.oireachtas.ie/ie/oireachtas/corporate/reports/2023/2023-12-20_gender-pay-gap-report-2023_en.pdf","2023",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"420","Houses of the Oireachtas Service (Part-Time Staff)","519",NULL,"-18.41000",NULL,"-29.70000","https://data.oireachtas.ie/ie/oireachtas/corporate/reports/2023/2023-12-20_gender-pay-gap-report-2023_en.pdf","2023",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"421","Iarnród Éireann","214",NULL,"-7.72000",NULL,"-12.90000","https://www.irishrail.ie/Admin/IrishRail/media/Content/About%20Us/Sustainability/2023-Iarnrod-Eireann-Gender-Pay-Gap.pdf","2023",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"422","Uisce Éireann (Irish Water)","230","10.45000","9.16000","6.47000","8.97000","https://www.water.ie/news/uisce-eireann-gender-pay/UE-Gender-Pay-Gap-Report-2023-FINAL.pdf","2023",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"423","Cork County Council","102",NULL,"-0.58000",NULL,"-10.59000","https://www.corkcoco.ie/sites/default/files/2023-12/cork-county-council-gender-pay-gap-report-2023.pdf","2023",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"424","Limerick City & County Council","259",NULL,"3.88000",NULL,"-5.61000","https://www.limerick.ie/sites/default/files/media/documents/2023-12/limerick-city-and-county-council-gender-pay-gap-report-for-2023.pdf","2023",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
