"Company Name","Company Site","Company Industries","Report Link","Report Year","Mean Hourly Gap","Median Hourly Gap","Mean Bonus Gap","Median Bonus Gap","Mean Hourly Gap Part Time","Median Hourly Gap Part Time","Mean Hourly Gap Part Temp","Median Hourly Gap Part Temp","Percentage Bonus Paid Female","Percentage Bonus Paid Male","Percentage BIK Paid Female","Percentage BIK Paid Male","Q1 Female","Q1 Men","Q2 Female","Q2 Male","Q3 Female","Q3 Male","Q4 Female","Q4 Male","Percentage Employees Female","Percentage Employees Male"
"Kildare and Wicklow Education and Training Board",https://kildarewicklow.etb.ie/,Education,https://kildarewicklow.etb.ie/wp-content/uploads/2023/02/KWETB-Gender-pay-gap-report-2022-English-Version.pdf,2022,4.25,0.56,,,39.2,2.38,,,,,,,48.28,51.72,50.29,49.71,49.67,50.33,51.53,48.47,70.68,11.73
"Kildare County Council",https://kildarecoco.ie/,"Public Service,Council",https://kildarecoco.ie/YourCouncil/Publications/Kildare%20County%20Council%20Gender%20Pay%20Gap%20Report%20Final.pdf,2022,-0.07,-7.23,,,-6.35,-7.41,21.47,22.38,,,2.31,2.74,44.73,55.27,27.11,72.89,57.97,42.03,43.96,56.04,43,57
"Kilkenny and Carlow Education and Training Board",https://kcetb.ie/,Education,https://kcetb.ie/wp-content/uploads/2023/01/KCETB-Gender-pay-gap-statement-2022-English-Version.pdf,2022,12.54,6.97,,,23.2,11.32,,,,,,,48.43,51.57,48.6,51.4,55.24,44.76,48.97,51.03,71.68,28.32
"Kilkenny County Council",https://www.kilkennycoco.ie/,"Public Service,Council",https://www.kilkennycoco.ie/eng/publications/council_publications/gender-report-2022-002-.pdf,2022,-0.72,1.88,,,-9.8,-11.23,16.84,23.71,,,,,44.94,55.06,21.91,78.09,20.79,79.21,43.26,56.74,32,68
"Kilkenny Design",https://kilkennydesign.com/,Retail,https://store-q0qjg3nvmk.mybigcommerce.com/content/Kilkenny_Gender_Gap_report_2022.pdf,2022,7.7,4.6,-644,-68,5.5,3.6,,,5,9,9,1,86,14,79,21,72,28,76,24,80,20
"Kilsaran Concrete",https://www.kilsaran.ie/,Manufacturing,https://www.kilsaran.ie/wp-content/uploads/2022/12/Gender-Pay-Gap-Report-2022-with-Cover.pdf,2022,-0.61,-7.15,18.05,-11.94,-27.91,-20.65,24.78,17,64.18,69.61,22.39,18,17.07,82.93,3.05,96.95,6.71,93.29,14.02,85.98,10.21,89.79
"Kingspan Limited",https://www.kingspan.com/ie/en/,Manufacturing,https://www.kingspan.com/content/dam/kingspan/kip-west/documents/kingspan-insulated-panels-gender-pay-report-en-ie.pdf,2022,12.8,-0.9,59.9,38,,,,,93.6,89.7,,,18,82,3,97,9,91,17,83,16,84
Kostal,https://www.kostal.com/en-gb/,Manufacturing,https://web.archive.org/web/20240118103854/https://cdn-production.kostal.com/-/media/files/news/automobol-elektrik/gender-pay-gap-report-kostal-ireland-20th-december-2022.pdf?rev=b2b8c703fc064463acaee53a3905ee17&hash=426B52E35EE7E01B2B627274EE478974,2022,29.8,26.3,,,,,,,97.2,98.3,15,85,46.4,53.6,16,84,17.7,82.3,20,80,,
"KPMG (excluding partners)",https://kpmg.com/ie/en/home.html,"Professional Services,Accountancy",https://assets.kpmg.com/content/dam/kpmg/ie/pdf/2023/01/ie-kpmg-ireland-gender-pay-gap-report-2022-2.pdf,2022,6.9,-7.5,13.9,-105,20.9,14.7,3.5,1.7,81,80,100,100,48.8,51.2,47.9,52.1,54.5,45.5,45.8,54.2,49,51
"KSG Catering",https://www.ksg.ie/,"Food & Drink",https://www.ksg.ie/_files/ugd/6e6166_25c9e6fd3b904879b5b1d44f59350598.pdf,2022,9.1,,,,,,,,,,,,,,,,,,,,52,48
"Kyte Powertech Limited",https://www.kytepowertech.com/,Manufacturing,https://www.kytepowertech.com/wp-content/uploads/2022/12/Gender-Pay-Gap-Report-2022.pdf,2022,1.2,6.5,-25,-14,14.26,12.83,0.9,0,68,78,25,7,17,83,14,86,18,82,29,71,,
L'Oreal,https://www.loreal.com/en/uki/,Retail,https://www.loreal.com/-/media/project/loreal/brand-sites/corp/master/lcorp/7-local-country-folder/uk/documents/final--loreal-irish-gender-pay-gap-report-2022avec-compression.pdf?rev=af359ff65fbb45859863313170a88941,2022,36,36,54,57,48,51,15,29,94,97,25,68,95,5,91,9,87,13,78,22,88,12
