"Company Name","Company Site","Company Industries","Report Link","Report Year","Mean Hourly Gap","Median Hourly Gap","Mean Bonus Gap","Median Bonus Gap","Mean Hourly Gap Part Time","Median Hourly Gap Part Time","Mean Hourly Gap Part Temp","Median Hourly Gap Part Temp","Percentage Bonus Paid Female","Percentage Bonus Paid Male","Percentage BIK Paid Female","Percentage BIK Paid Male","Q1 Female","Q1 Men","Q2 Female","Q2 Male","Q3 Female","Q3 Male","Q4 Female","Q4 Male","Percentage Employees Female","Percentage Employees Male"
"Suir Engineering",https://suireng.ie/,Engineering,https://suireng.ie/wp-content/uploads/2022/12/Gender-Pay-Gap-Report-2022-_.pdf,2022,26.3,33,,,-100,-100,12,-3,,,,,18,82,1,99,1,99,1,99,7.5,92.5
"Sulzer Pumps",https://www.sulzer.com/,Manufacturing,https://www.sulzer.com/-/media/files/about-us/investors/governance/sulzer_gender_pay_gap_spirl_2022.pdf?sc_lang=en,2022,12.99,11.04,73.91,80.83,,,,,8.7,7.6,,,28.17,71.83,18.31,81.69,11.27,88.73,7.04,92.96,,
"Sun Life",https://www.sunlife.ie/en/,Financial,https://www.sunlife.ie/content/dam/sunlife/regional/ireland/documents/sun-life-gender-pay-gap-report-december-2022.pdf,2022,14,16,19,16,-42,-29,3,0,91,95,89,88,46,54,57,43,46,54,27,73,44,56
"Sustainable Energy Authority of Ireland (SEAI)",https://www.seai.ie/,"Public Service,Government",https://web.archive.org/web/20230306073835/https://www.seai.ie/publications/SEAI-Gender-Pay-Gap-Report.pdf,2022,13.03,11.19,,,,,-3.51,0.75,,,,,51.22,48.78,63.16,36.84,58.97,41.03,35.9,64.1,52.23,47.77
"Sysco Ireland",https://syscoireland.com/,"Food & Drink",https://syscoireland.com/sysco-ireland-gender-pay-gap-report/,2022,7.7,13.5,-20.9,0,1.2,2.5,1.4,4.8,86.7,76.1,22,13,39,61,16,84,4,96,22,78,,
"Tailte Éireann (formerly Property Registration Authority)",https://www.tailte.ie/,"Public Service,Government",https://web.archive.org/web/20230209131101/https://www.prai.ie/wp-content/uploads/PRA-Gender-Pay-Gap-Report-2022.pdf,2022,2.56,2.79,,,0.02,-3.34,0,0,,,,,53.38,46.62,69.7,30.3,61.19,38.81,54.55,45.45,49.33,50.67
Takeda,https://www.takeda.com/,Pharmaceutical,https://www.takeda.com/4afe07/siteassets/en-ie/home/corporate-responsibility/takeda-ireland-gender-pay-gap-report-2022-exa.ie.tak.0009.pdf,2022,7.8,5.5,13.3,4,,,-2.5,6,92.8,95.9,87.8,92.4,42,58,37,63,37,63,29,71,,
"Tallaght University Hospital",https://www.tuh.ie/,Healthcare,https://www.tuh.ie/About-us/TUH-Gender-Pay-Gap-Report.pdf,2022,15,1,,,3,-3,19,22,,,,,72,28,79,21,82,18,68,32,75,25
"Tayto Snacks",https://taytosnacks.ie/,"Food & Drink",https://taytosnacks.ie/wp-content/uploads/2022/12/Tayto-2022-Gender-Pay-Report.pdf,2022,10.9,9,28.93,0,,,,,93.97,93.09,9.48,9.67,41.6,58.4,37.76,62.24,22.86,77.14,27.5,72.5,34.8,65.2
"TCS (Tata Consulting Services)",https://www.tcs.com/,Consultancy,https://web.archive.org/web/20230514230457/https://www.tcs.com/who-we-are/worldwide/uk/tcs-ireland-gender-pay-gap-report,2022,5.59,6.97,-2.42,5.59,1.64,1.76,-12.47,-22.97,90.46,93.11,80.35,79.66,42,58,33,67,33,67,30,70,35,65
Teagasc,https://www.teagasc.ie/,"Public Service,Government",https://www.teagasc.ie/media/website/about/corporate-responsibility/Gender-Paygap-Report_2022-Web.pdf,2022,12,18,,,-15,-53,3,1,,,,,36,64,50,50,35,65,23,77,40,60
"Technological University Dublin",https://tudublin.ie/,Education,https://web.archive.org/web/20221223071959/https://www.tudublin.ie/media/website/explore/about-the-university/gender-pay-gap/TU-Dublin-Gender-Pay-Gap-Return-December-2022.pdf,2022,10.77,18.44,,,32.39,63.05,6.03,14.93,,,,,54.47,45.53,52.88,47.12,46.3,53.7,38.01,61.99,,
"Technological University of the Shannon (TUS)",https://tus.ie/,Education,https://web.archive.org/web/20230605201311/https://tus.ie/app/uploads/2022/12/TUS-Gender-Pay-Gap-Report-2022.pdf,2022,11.4,14,,,14,9.6,9.9,5.5,,,,,60,40,60,40,52,48,41,59,53,47
"TELUS International",https://www.telusinternational.com/,"Technology,Telecommunications",https://downloads.ctfassets.net/3viuren4us1n/4VYGc92RVb7ZoeeUb9Zt3Z/bb6d2f0e36711ce08d912fc2d86e2876/Our_gender_pay_gap_report_202122.pdf?INTCMP=ti_ireland_link_view-report_benefits,2022,4.82,1.84,38.31,1.49,1.1,-6.27,-0.25,0,77.6,77.9,23,19,49.76,50.24,51.07,48.93,44.15,56.09,47.49,52.89,,
"Tesco Ireland",https://www.tesco.ie/,Retail,https://tescoireland.ie/media/0llni5n2/gpg-report-28-nov-2022-final.pdf,2022,9.82,5.39,50.66,16.92,1.83,2.66,-5.8,-0.35,83.53,83.66,5.93,6.39,57,43,66,34,44,56,46,54,,
"Teva Pharmaceuticals",https://www.teva.ie/,Pharmaceutical,https://web.archive.org/web/20230617012802/https://www.teva.ie/globalassets/ireland-files---global/our-impact/gender-pay-gap-ireland---final-dec-23-2022-.pdf,2022,7.1,-0.2,34,8,-15.4,-2.1,12.1,8.6,87,88,68,66,34,66,52,48,43,57,34,66,43,57
"The Barry Group",https://barrygroup.ie/reports-and-publications/,Retail,https://www.flipsnack.com/7DAA9AEC5A8/barry-group-gender-pay-gap-report-2022/full-view.html,2022,-4,-9,21,-99,,,,,,,,,,,,,,,,,,
"The Coombe Hospital",https://www.coombe.ie/,Healthcare,https://static1.squarespace.com/static/5df2275ab592b63d2d87fd51/t/63af6d1676a7d343e5807c52/1672441111426/Final+Document.docx.pdf,2022,17.66,1.76,,,-49.25,-47.03,5.52,23.46,,,,,83.39,16.61,89.86,10.14,92.03,7.97,79.71,20.29,86.27,13.73
"The Defence Organisation: Civil Servant Employees",https://www.gov.ie/en/organisation/department-of-defence/,"Public Service,Government",https://assets.gov.ie/243871/ecbf2ec4-25ab-470f-83a2-e074b1d8dbe1.pdf,2022,12.23,10.53,,,-27.36,-12.56,0.86,0.69,,,,,63.27,36.73,81.63,18.37,72.45,27.55,51.52,48.48,67,33
"The Defence Organisation: Civilian Employees",https://www.gov.ie/en/organisation/department-of-defence/,"Public Service,Government",https://assets.gov.ie/243871/ecbf2ec4-25ab-470f-83a2-e074b1d8dbe1.pdf,2022,5.1,3.39,,,3.08,1.29,,,,,,,27.52,72.48,25,75,4.59,95.41,18.48,83.18,18,82
"The Defence Organisation: Defense Forces",https://www.gov.ie/en/organisation/department-of-defence/,"Public Service,Government",https://assets.gov.ie/243871/ecbf2ec4-25ab-470f-83a2-e074b1d8dbe1.pdf,2022,-1.2,1.76,,,-39.57,-73.17,,,,,,,8.12,91.88,6.79,93.21,5.51,94.49,8.15,91.85,7.1,92.9
"The Environmental Protection Agency",https://www.epa.ie/,Government,https://www.epa.ie/publications/corporate/careers/EPA-Gender-Pay-Gap-Report-2022.pdf,2022,11.3,9.1,,,2.5,2.3,42.7,49.8,,,,,,,,,,,,,60,40
"The Galmont Hotel",https://www.thegalmont.com/en/,"Hospitality,Hotel",https://www.mhlhotelcollection.com/files/hotel/downloads/Gender_Pay_Gap_Report_-_Galmont.pdf,2022,15.49,14.22,69.23,-33.33,12.34,14.52,-23.43,-10.47,2.68,4.76,0,0,50,50,68,32,73,27,45,55,,
"The Irish Times",https://www.irishtimes.com/,Media,https://irishtimes-pdfs.s3.eu-west-1.amazonaws.com/Gender+Pay+Gap+Reports/Gender+Pay+Gap+Report+_Dec_20_2022.pdf,2022,14.47,20.39,-18.64,0,-42.47,-53.28,36.69,12.82,74.6,86.2,5.48,4.9,43,57,32,68,32,68,22,78,35,65
"The Revenue Commissioners",https://www.revenue.ie/,"Public Service,Government",https://www.revenue.ie/en/corporate/statutory-obligations/gender-pay-gap/documents/2022.pdf,2022,4.9,-0.1,,,2.1,-2,,,,,,,38,62,38,62,31,69,45,55,62,38
"ThermoFisher Scientific",https://jobs.thermofisher.com/global/en/ireland,"Manufacturing,Pharmaceutical",https://www.ppd.com/wp-content/uploads/2023/01/Gender-Pay-Gap-Report-Ireland-2022.pdf,2022,31.1,34.3,14.6,19.9,37.4,48.3,30.7,46.9,79,89.5,92.2,95.3,55,45,37,63,16,84,6,94,,
"Three Ireland",https://www.three.ie/,"Retail,Telecommunications",https://www.three.ie/pdfs/legal/gender-pay-gap-report-2022.pdf,2022,28.2,26.3,53.6,33.8,4,-2.5,15,7.2,86.5,87.7,67.2,66.7,54.1,45.9,58.6,41.4,44.2,55.8,28.8,71.2,,
TikTok,https://www.tiktok.com/en/,"Technology,Software",https://newsroom.tiktok.com/en-ie/gpg-study-2022,2022,5,1.4,-3.4,-0.7,,,6.1,6.1,87.3,87.7,100,100,51.3,48.7,50.1,49.9,46.2,53.8,49.8,50.2,,
"Tipperary County Council",https://www.tipperarycoco.ie/,"Public Service,Council",https://www.tipperarycoco.ie/sites/default/files/2022-12/Gender%20Pay%20Gap%20Report%202022.pdf,2022,0.08,-5.36,,,-4.49,0.91,3.48,-6.13,,,0,0.12,38.49,61.51,28.62,71.38,34.49,65.61,41.51,58.49,39,61
"Tipperary Education and Training Board",https://tipperary.etb.ie,Education,https://tipperary.etb.ie/wp-content/uploads/2023/01/ETB-Gender-pay-gap-statement-2022-English-Version.docx,2022,10.59,0.91,,,22.9,-3.2,5.6,9.26,,,,,48.12,51.88,47.9,52.1,55.62,44.38,43.47,56.53,67,33
"Tirlán (formerly Glanbia Ireland)",https://www.tirlan.com/,Agriculture,https://www.tirlan.com/sites/default/files/2022-12/Gender%20Pay%20Gap%20report.pdf,2022,18.5,15.7,24.6,-30.5,-71.2,-100.4,18.7,21,48,59,9,13,34,66,26,74,21,79,21,79,25,75
"TJX Ireland",https://www.tjx.com/businesses/europe/tkmaxx,Retail,https://www.tjx.com/docs/default-source/corporate-responsibility/tjx-ireland-gender-pay-gap-statement.pdf?sfvrsn=7b51bed5_1,2022,3.7,-0.6,11.2,-25.3,-3.1,-1.7,-5.7,-5.7,92,92,5,8,70,30,78,22,77,23,76,24,,
"TLI Group",https://www.tli.ie/,"Construction,Engineering",https://www.tli.ie/wp-content/uploads/2022/12/TLI-Group-Gender-Pay-Gap-Report-2022.pdf,2022,29,35,73,82,,,,,11,24,0,0.45,38,62,7,93,3,97,3,97,,
"Top Oil",https://www.top.ie/,Retail,https://www.top.ie/wp-content/uploads/2022/12/Gender-Pay-Gap-Report-Final.pdf,2022,25.4,37.3,49,58.4,-7.9,-0.6,-34.1,-32.3,32.4,56,100,100,61,39,63.7,36.3,59.3,40.7,25.9,74.1,47.5,52.5
"Trane Technologies",https://www.tranetechnologies.com/,Manufacturing,https://web.archive.org/web/20231002105306/https://www.tranetechnologies.com/content/dam/cs-corporate/pdf/company/legal/Ireland-Gender-Pay-Disclosure.pdf,2022,-12.88,-23.31,-96.52,1.05,-67.15,-3.82,68.82,21.61,66.94,89.57,84.3,78.07,9.79,90.21,11.4,88.6,14.51,85.49,26.94,73.06,16,84
"Transport Infrastructure Ireland (TII)",https://www.tii.ie/,"Government,Transport,Transport",https://www.tii.ie/tii-library/reports-accounts/tii-gender-pay-gap/TII-Gender-Pay-Gap-Report-2022-FINAL.pdf,2022,16.26,16.36,,,,,6.59,-0.13,,,0,0.55,52,48,37,63,34,66,20,80,,
"Trend Micro",https://www.trendmicro.com/en_ie/business.html,"Technology,Software",https://web.archive.org/web/20230207144834/https://www.trendmicro.com/en_ie/about/trust-center/company/ie-gender-gap.html,2022,9.4,6.2,4.2,-16.8,,,-17.4,-37.5,84.2,80.2,84.2,84.6,52.2,47.8,42,58,37.7,62.3,33.3,66.7,41.3,58.7
"Trinity College Dublin",https://www.tcd.ie/,Education,https://www.tcd.ie/hr/gender-pay-gap/tcd-gender-pay-gap-report-2022.pdf,2022,11,11,,,15,22,7,9,,,0.38,0.81,64,36,58,42,56,44,48,52,,
"Tusla Child and Family Agency",https://www.tusla.ie/,"Public Service,Government",https://www.tusla.ie/uploads/content/Gender_Pay_Gap_Report_2022.pdf,2022,5,4,,,-1,-1,-8,-7,,,,,85,15,83,17,83,17,79,21,83,17
"Twitter Ireland",https://twitter.com/?lang=en,"Technology,Software",https://web.archive.org/web/20221229214050/https://s22.q4cdn.com/826641620/files/doc_downloads/governance/2022/12/Irish-Gender-Pay-Gap-Report-2022.pdf,2022,18.4,19.2,31.3,44.9,,,7.4,10.8,84.4,83.9,,,60.8,39.2,64.6,35.4,50,50,44.3,55.7,55,45
"Uisce Éireann (Irish Water)",https://www.water.ie/,"Public Service,Utilities",https://www.water.ie/news/irish-water-gender-pay-ga/IW-Gender-Pay-Gap-8-page-Booklet-Final.pdf,2022,7.37,5.76,13.2,7.6,,,4.48,4.5,97,95,17,26,52,48,33,67,41,59,33,67,40,60
"Ulster Bank",https://www.ulsterbank.ie/,"Banking,Financial",https://web.archive.org/web/20230325164112/https://www.ulsterbank.ie/content/dam/Ulster/documents/group/GenderPayGap_2022_UB.pdf,2022,26,28,42.4,48,23.7,32.3,-28.8,-38.6,58.4,67.7,100,100,78.8,21.2,71.6,28.4,55,45,43,57,,
"Uniphar: Hickey's Pharmacy Group Limited",https://www.uniphar.ie/,Retail,https://www.uniphar.ie/staticMedia/2yxf0fzj/hickey-s-pharmacy-group-company-gender-pay-gap-report-2022.pdf,2022,37,55.7,25.4,0,11,3.2,33.3,33.4,63,66,3.1,2.9,92.8,7.2,95.1,4.9,91.5,8.5,78.3,21.7,89,11
"Uniphar: McCauley Pharmacy",https://www.mccauley.ie/,Retail,https://www.mccauley.ie/mccauley-gender-pay-report,2022,38.08,20.95,34.95,4.51,3.41,3.07,-0.83,-3.03,62.82,74.73,1.11,8.6,,,,,,,,,85.5,14.5
"Uniphar: Medtech (formerly SISK Healthcare)",https://www.unipharmedtech.com/,"Technology,Hardware,Medical",https://www.uniphar.ie/staticMedia/kluhiorl/sisk-healthcare-unlimited-company-gender-pay-gap-report-2022.pdf,2022,25.9,28.4,35.4,26.2,-53.9,-43.5,-36.9,-12.2,83,92,72.4,85.4,52.2,47.8,54.4,45.6,36.8,63.2,36.2,63.8,45,55
"Uniphar: Uniphar Wholesale Limited",https://www.uniphar.ie/,Pharmaceutical,https://www.uniphar.ie/staticMedia/pwrplfyh/uniphar-wholesale-limited-gender-pay-gap-report-2022.pdf,2022,14.3,-1.1,42.7,7.1,0,0,9.1,1.5,82,80,24.1,24.1,61.7,38.3,50.7,49.3,65.7,34.3,48.9,51.1,57,43
"United Drug (part of PHX Ireland)",https://www.united-drug.com/,Pharmaceutical,https://issuu.com/lloydspharmacyireland/docs/gender_pay_reporting_published_36_,2022,10.96,3.02,25.38,9.9,-2.48,0.84,,,85.37,83.64,6.18,5.57,64,36,46,54,48,52,47,53,51.15,48.84
"University College Cork (UCC)",https://www.ucc.ie/,Education,https://www.ucc.ie/en/media/aboutucc/presidentx27soffice/documents/UniversityCollegeCorkGenderPayGapReport2022.pdf,2022,16.06,17.37,,,14.61,-3.43,10.03,0,,,,,62.47,37.53,63.76,36.24,55.59,44.41,44,56,56.5,43.5
"University College Dublin (UCD)",https://www.ucd.ie/,Education,https://www.ucd.ie/equality/t4media/UCD%20Gender%20Pay%20Gap%20Report%20%20%20(1).pdf,2022,7.71,7.66,,,4.15,-4.15,2.76,2.53,,,0.08,0.34,60.91,39.09,59.22,40.78,56.25,43.75,51.76,48.24,,
"University of Galway",https://www.universityofgalway.ie/,Education,https://www.universityofgalway.ie/media/equality/ovpedi/files/University-of-Galway-GPG-Report-20221222--(Final).pdf,2022,18.6,15.5,,,35.8,8.6,3.6,-4.1,,,,,58.3,41.7,70.6,29.4,59.6,40.4,43.9,56.1,58,42
"University of Limerick",https://www.ul.ie/,Education,https://www.ul.ie/media/29827/download?inline,2022,5,10,,,2,4,5,4,,,,,60,40,59,41,56,44,48,52,,
"UPMC Aut Even Hospital",https://upmc.ie,Healthcare,https://imws.azureedge.net/-/media/project/upmc/ireland/documents/news/2023/upmc-gender-pay-gap-report-2022.pdf?rev=6f08f5b847c6486b904f8621838a54bd&hash=E7C43FEA2CCD4D3F47190736DF18C7B4,2022,3.2,-0.3,0,0,-27.6,-47.6,-23.4,21.2,0,0,0.8,0,81,19,87,13,89,11,77,23,83,17
"UPMC Ireland (all entities)",https://upmc.ie/,Healthcare,https://imws.azureedge.net/-/media/project/upmc/ireland/documents/news/2023/upmc-gender-pay-gap-report-2022.pdf?rev=6f08f5b847c6486b904f8621838a54bd&hash=E7C43FEA2CCD4D3F47190736DF18C7B4,2022,19.3,7,45.7,9.6,-19.7,-51.6,17.4,0.6,2,4.6,1.3,2.5,77,23,80,20,83,17,67,33,77,23
"UPMC Kildare Hospital",https://upmc.ie,Healthcare,https://imws.azureedge.net/-/media/project/upmc/ireland/documents/news/2023/upmc-gender-pay-gap-report-2022.pdf?rev=6f08f5b847c6486b904f8621838a54bd&hash=E7C43FEA2CCD4D3F47190736DF18C7B4,2022,-14.5,-44.1,0,0,-10.8,-50.7,1.6,8.1,0,0,0,0,80,20,86,14,97,3,89,11,88,12
"UPMC Whitfield Hospital",https://upmc.ie,Healthcare,https://imws.azureedge.net/-/media/project/upmc/ireland/documents/news/2023/upmc-gender-pay-gap-report-2022.pdf?rev=6f08f5b847c6486b904f8621838a54bd&hash=E7C43FEA2CCD4D3F47190736DF18C7B4,2022,17.5,4.2,41.2,57.1,-32.4,-64.3,24,-8.2,2.1,4.2,2.1,4.2,75,25,72,28,77,23,67,33,73,27
"Utmost International Ireland",https://utmostinternational.com/,Financial,https://web.archive.org/web/20231031064322/https://utmostinternational.com/wp-content/uploads/2022/12/Utmost-International-Ireland-Gender-Pay-Gap-Report-2022.pdf,2022,19,12,23,10,29,35,19,-2,89,83,74,66,50,50,69,31,57,43,43,57,54.8,45.2
"Valeo Foods",https://www.valeofoodsgroup.com/,"Food & Drink",https://valeofoods.ie/wp-content/uploads/2022/12/Gender-Pay-Gap-Narrative-FINAL.pdf,2022,11.43,-1.55,54.6,33.12,29.29,9.24,,,76.43,68.07,8.57,27.71,24.58,75.42,33.05,66.95,28.81,71.19,32.2,67.8,29,71
Veolia,https://www.veolia.ie/,Utilities,https://www.veolia.ie/sites/g/files/dvc2576/files/document/2022/12/2022%20Gender%20and%20Pay%20gap%20report.pdf,2022,16.36,20,8.68,12.65,,,22.74,33.97,72.28,57.84,85.15,86.31,32.61,67.39,18.12,81.88,11.15,88.49,10.79,89.21,18.23,81.77
"Verizon Connect",https://www.verizonconnect.com/ie/,"Technology,Software",https://static.verizonconnect.com/verizonconnect/digital/legal/Verizon-Connect-Development-Limited-Gender-Pay-Gap-Report-2022.pdf,2022,22.3,10.3,45.3,7.1,,,,,77.5,87.7,78.8,86.1,30.9,69.1,29.6,70.4,24.7,75.3,13.6,86.4,,
"Version 1",https://www.version1.com/,"Professional Services",https://www.version1.com/wp-content/uploads/2022/11/Gender-Pay-Gap-Report-Ireland-2022.pdf,2022,32.63,30.57,62.1,6.8,42.24,38.46,27.95,27.44,74,82,74,81,43.4,56.6,34.6,65.4,27.1,72.9,27.1,72.9,33.1,66.9
"Vertiv (formerly E+I Engineering)",https://www.vertiv.com/,"Professional Services,Engineering",https://www.vertiv.com/4a53d4/globalassets/images/ei/ei_ireland-gender-pay-report-2.pdf,2022,9.91,4.5,-29.92,-34.63,40.62,0,,,0.7,0.7193,,,9,91,9,91,8,92,11,89,,
VHI,https://www1.vhi.ie/,Insurance,https://www.vhi.ie/downloads/vhi-gender-pay-gap-report-2022.pdf,2022,21,19,31,18,51,50,36,-10,88,88,93,93,69,31,80,20,71,29,48,52,67,33
"Viatris: McDermott Laboratories",https://www.viatris.ie/,Pharmaceutical,https://www.viatris.ie/-/media/project/common/viatrisie/pdfs/ireland_gender_pay_gap_report_2022_final.pdf,2022,9.13,10.06,5.96,-4.95,-36,-22,8,3.13,87.6,87.59,86.82,86.39,50.83,49.17,36.78,63.22,38.43,61.57,32.65,67.35,39.64,60.36
"Viatris: Mylan Teoranta",https://www.viatris.ie/,Pharmaceutical,https://www.viatris.ie/-/media/project/common/viatrisie/pdfs/ireland_gender_pay_gap_report_2022_final.pdf,2022,9.16,14.39,9.5,9.88,42,47,8,10.59,85.09,90.79,85.96,80.92,63.64,36.36,38.8,61.2,27.27,72.73,41.79,58.21,42.86,57.14
"Viatris: Rottapharm Limited",https://www.viatris.ie/,Pharmaceutical,https://www.viatris.ie/-/media/project/common/viatrisie/pdfs/ireland_gender_pay_gap_report_2022_final.pdf,2022,13.04,6.38,20.39,-2.15,12,63,-100,-100,81.88,78.89,85.51,68.84,48.81,51.19,41.67,58.33,45.24,54.76,27.38,72.62,40.95,59.05
"Virgin Media",https://www.virginmedia.ie/,"Media,Broadcasting",https://www.virginmedia.ie/pdf/Gender-Pay-Gap-Report-VM-IE.pdf,2022,21.64,22.71,62.92,47.43,0.23,12.88,,,43.5,29.7,95.2,97.1,59.64,40.36,43.95,65.05,29.15,70.85,24.23,65.77,,
"Vision Ireland (formerly NCBI National Council for the Blind of Ireland)",https://vi.ie/,Charity,https://www.ncbi.ie/ncbi-gender-pay-gap-report/,2022,12.08,25.62,14.93,0,16.07,34.78,2.96,10.38,25.56,7.32,0,0,77.27,22.73,86.36,13.64,73.86,26.14,69.32,30.68,,
VMware,https://www.vmware.com/,"Technology,Software",https://web.archive.org/web/20231027123739/https://www.vmware.com/se/company/diversity/2022-gender-pay-gap-analysis-in-ireland.html,2022,8.4,14,8,16.3,-35.7,-25.6,17.2,0,94,92,92,91,48,52,41,59,30,70,32,68,,
"Vodafone (all legal entities)",https://n.vodafone.ie/en.html,"Retail,Telecommunications",https://n.vodafone.ie/content/dam/gowingmyself/pdfs/ireland-vodafone-gender-pay-gap-report-2022.pdf,2022,6.05,16.05,9.75,15.42,-14.96,-5.8,9.89,38.21,91,93,93,95,42,58,41,59,32,68,28,72,,
"Walls Construction",https://walls.ie/,Construction,https://walls.ie/wp-content/uploads/2022/12/Walls-Construction-Gender-Pay-Gap-Report-2022.pdf,2022,37,30.6,89.2,0,,,,,90.7,82.7,2.3,19.8,13,87,19,81,9,91,7,93,12,88
"Waterford and Wexford Education and Training Board",https://www.wwetb.ie/,Education,http://www.wwetb.ie/wp-content/uploads/2023/01/ETB-Gender-pay-gap-statement-2022-English-Version.pdf,2022,4.73,4.98,,,-0.09,0.02,3.64,0.01,,,,,68,32,66,34,69,31,69,31,68,32
"Waterford City & County Council",https://www.waterfordcouncil.ie/,"Public Service,Council",https://waterfordcouncil.ie/media/plans_strategies/gpg/Gender%20Pay%20Gap%20Report%202022.pdf,2022,4.04,-1.6,,,-6.36,-5.77,-1.87,-9.39,,,0.32,1.65,40.41,59.59,22.76,77.24,31.15,68.85,34.15,65.85,32,68
"Westmeath County Council",https://www.westmeathcoco.ie/,"Public Service,Council",https://www.westmeathcoco.ie/en/media/WCCGenderPayGapReport2022.pdf,2022,1.28,-5.35,,,-3.29,-2.79,0.93,-3.12,,,0,0,32.86,67.14,35.71,64.29,43.57,56.43,38.57,61.43,38,62
"Wexford County Council",https://www.wexfordcoco.ie/,"Public Service,Council",https://www.wexfordcoco.ie/news/2022/12/19/gender-pay-gap--press-release-0,2022,-0.41,4.24,,,4.6,5.86,21.25,18.54,,,,,44.68,55.32,24.05,75.95,40.95,59.05,45.53,54.57,,
"Wicklow County Council",https://www.wicklow.ie/,"Public Service,Council",https://www.wicklow.ie/Portals/0/adam/Documents/UmfUG-Z2C0GU23lJyQo5Iw/Link/Wicklow%20County%20Council%20Gender%20Pay%20Gap%20Report%202022.pdf,2022,-1.88,-4.62,,,-4.63,-2.88,5.26,1.18,,,0.59,1.68,53.69,46.31,22.22,77.78,40.87,59.13,48.77,51.23,42,58
"William Fry (excluding partners)",https://www.williamfry.com/,Law,https://www.williamfry.com/docs/default-source/reports/wf_gender_pay_gap_report_2022.pdf?sfvrsn=c6abee5f_0,2022,-0.3,-10.6,5.4,30,-15.7,-1.9,-13.5,-0.6,87.7,80.8,81.8,73.3,64,36,72,28,72,28,68,32,70,30
"Windsor Motor Group",https://www.windsor.ie/,"Automotive,Retail",https://web.archive.org/web/20240112145005/https://nd-mediagallery2-public-production.s3.amazonaws.com/98804b6cf5f4b432cc47bc388895150c/windsor_gender_pay_report_2022.pdf,2022,5,1,36,49,17,15,,,77,88,33,28,13,87,20,80,19,81,11,89,16,84
"Winthrop Technologies",https://winthrop.ie/,"Technology,Hardware",https://web.archive.org/web/20240331195217/https://winthrop.ie/gpg-report/,2022,22,37,42,33,,,,,69,52,9,10,31,69,12,88,5,95,6,94,,
Woodies,https://www.woodies.ie/,Retail,https://web.archive.org/web/20230807033516/https://www.woodies.ie/corporate-information,2022,12.51,-0.4,44.23,6.84,-5.73,-1.66,-1.08,-2.11,79.52,77.1,13.69,13.74,52.27,47.73,43.97,55.79,58.58,41.69,47.47,52.53,,
Workday,https://www.workday.com/,"Technology,Software",https://www.workday.com/en-gb/legal/ireland-gender-pay-gap-report.html,2022,20,20.3,29.9,39.4,,,,,79.7,84,91.5,94,43,57,29,71,31,69,14,86,,
Workhuman,https://www.workhuman.com/,"Technology,Software",https://www.workhuman.com/gender-pay-gap-report/dublin-2022/,2022,30,32,45,20,-9,-12,-13,-14,100,100,84,92,66,34,59,41,35,65,24,76,53,47
"WTW (all legal entities)",https://www.wtwco.com/en-ie,"Financial,Insurance",https://web.archive.org/web/20230519094734/https://www.wtwco.com/-/media/wtw/notices/2022-gender-pay-gap-report-for-ireland.pdf?modified=20221220213516,2022,38.3,21.5,65.3,51.6,61.8,68.1,4.2,-74.2,87.2,84.1,38.1,47.3,60.3,39.7,51.4,48.6,50,50,27.1,72.9,,
"WuXi Biologics",https://www.wuxibiologics.com/,Pharmaceutical,https://www.wuxibiologics.com/wp-content/uploads/WuXi-Biologics_Gender-Pay-Gap-Report_December-2022.pdf,2022,8,18,6,8,,,,,100,100,81,77,47,53,53,47,28,72,33,67,40,60
"Xilinx (AMD)",https://www.amd.com/en.html,Manufacturing,https://www.amd.com/content/dam/amd/en/documents/corporate/cr/2022-ireland-gendergap-report.pdf,2022,13.3,13.4,16.9,23.8,,,,,89.61,94.07,85.71,89.83,37,63,27,73,18,82,16,84,25,75
Yahoo,https://www.yahoo.com/,"Technology,Software",https://assets-global.website-files.com/62b4f04befbe455f681f5197/63c1783a7a455ddd7c773f70_2022%20Gender%20Pay%20Report.pdf,2022,25.1,22.3,42.2,39.1,,,,,93.6,94.2,84.5,88,38,62,47,53,36,64,20,80,,
Zara,https://www.zara.com/ie/,Retail,https://static.zara.net/static/pdfs/IE/gender-pay-gap-report/gender-pay-gap-report-20230223.pdf,2022,5.8,-0.4,26.2,7.4,-0.7,-0.4,2.7,1.2,64,60.9,100,100,78.9,21.1,76.7,23.3,81.3,18.7,75.8,24.2,,
Zendesk,https://www.zendesk.com/,"Technology,Software",https://web.archive.org/web/20230315120432/https://web-assets.zendesk.com/pdf/Ireland_GPG_Report.pdf,2022,19,16.5,31.4,24.7,,,1.5,0,77.5,79,89,91.1,47.4,52.6,42.8,57.2,30.9,69.1,28.3,71.7,,
"Zoetis Belgium S.A. (Irish Branch) ",https://www.zoetis.com/,Pharmaceutical,https://www2.zoetis.ie/content/_assets/PDFs/Zoetis-Irish-Branch-Gender-Pay-Gap-Report-2022.pdf,2022,22,20.5,13.9,18.3,,,,,65.4,78.1,86.5,89.3,50,50,34.1,65.9,33,67,28.3,71.7,36,64
